time	sym	price	size
2019-06-18D03:05:14.702097000	MSFT.O	8.904193	1
2019-06-18D03:05:16.716154000	GS.N	26.47404	1
2019-06-18D03:05:18.715592000	IBM.N	42.40783	9
2019-06-18D03:05:21.714686000	MSFT.O	9.732546	2
2019-06-18D03:05:23.714154000	MSFT.O	36.39264	1
2019-06-18D03:05:25.713658000	IBM.N	33.94541	4
2019-06-18D03:05:26.713695000	MSFT.O	20.23273	5
2019-06-18D03:05:28.702702000	IBM.N	8.455216	0
2019-06-18D03:05:29.704613000	MSFT.O	43.08986	9
2019-06-18D03:05:30.704194000	BA.N	45.66516	3
2019-06-18D03:05:31.704051000	IBM.N	27.48968	5
2019-06-18D03:05:33.703633000	MSFT.O	22.8664	4
2019-06-18D03:05:34.703364000	IBM.N	16.90049	9
2019-06-18D03:05:35.703204000	IBM.N	45.12892	4
2019-06-18D03:05:37.702681000	IBM.N	21.16883	9
2019-06-18D03:05:38.702432000	BA.N	27.59943	7
2019-06-18D03:05:39.702253000	IBM.N	22.07246	9
2019-06-18D03:05:40.717607000	BA.N	11.85644	8
2019-06-18D03:05:41.717245000	GS.N	0.7970141	3
2019-06-18D03:05:43.716850000	GS.N	20.50957	1
2019-06-14D02:15:15.940328000	p	13.50938	8
2019-06-14D02:15:15.940328000	j	31.78591	1
2019-06-14D02:15:15.940328000	a	38.85652	9
2019-06-14D02:15:15.940328000	g	4.113437	5
2019-06-14D02:15:15.940328000	c	25.66009	4
2019-06-14D02:15:15.940328000	g	24.73914	6
2019-06-14D02:15:15.940328000	i	43.32783	6
2019-06-14D02:15:15.940328000	n	32.07488	1
2019-06-14D02:15:15.940328000	n	45.41356	8
2019-06-14D02:15:15.940328000	a	48.98047	5
2019-06-14D02:15:15.940328000	j	15.38745	4
2019-06-14D02:15:15.940328000	f	18.26137	9
2019-06-14D02:15:15.940328000	p	47.95588	2
2019-06-14D02:15:15.940328000	b	20.60933	7
2019-06-14D02:15:15.940328000	k	31.65205	0
2019-06-14D02:15:15.940328000	p	28.76346	1
2019-06-14D02:15:15.940328000	k	0.4505872	9
2019-06-14D02:15:15.940328000	o	7.240285	2
2019-06-14D02:15:15.940328000	o	38.53066	1
2019-06-14D02:15:15.940328000	m	18.48057	8
2019-06-14D02:15:15.940328000	f	5.876775	8
2019-06-14D02:15:15.940328000	a	46.17193	1
2019-06-14D02:15:15.940328000	o	20.07968	7
2019-06-14D02:15:15.940328000	n	28.09518	2
2019-06-14D02:15:15.940328000	c	36.2474	4
2019-06-14D02:15:15.940328000	d	40.56013	5
2019-06-14D02:15:15.940328000	o	10.43307	4
2019-06-14D02:15:15.940328000	m	49.53558	2
2019-06-14D02:15:15.940328000	h	28.97401	7
2019-06-14D02:15:15.940328000	m	45.14857	8
2019-06-14D02:15:15.940328000	n	10.05789	5
